pin1	pin2	pin3	pin4	pin5
40.1594	31.5378	6.19515	37.047	35.4982
40.198	31.5781	6.21979	37.0667	35.5733
40.2363	31.6182	6.24418	37.0861	35.6478
40.2743	31.6579	6.26833	37.1051	35.7214
40.3119	31.6974	6.29224	37.1237	35.7944
40.3492	31.7366	6.31591	37.1421	35.8666
40.3862	31.7755	6.33934	37.1601	35.9381
40.4228	31.8141	6.36254	37.1777	36.0088
40.4592	31.8525	6.38551	37.1951	36.0788
40.4952	31.8906	6.40825	37.2121	36.1482
40.5309	31.9284	6.43076	37.2289	36.2168
40.5664	31.966	6.45305	37.2453	36.2847
40.6015	32.0033	6.47511	37.2614	36.3518
40.6363	32.0403	6.49696	37.2772	36.4183
40.6708	32.077	6.51859	37.2928	36.4841
40.705	32.1135	6.54	37.308	36.5493
40.7389	32.1498	6.5612	37.323	36.6137
40.7726	32.1858	6.58218	37.3376	36.6775
40.8059	32.2215	6.60296	37.352	36.7405
40.839	32.257	6.62354	37.3662	36.803
40.8717	32.2922	6.6439	37.38	36.8647
40.9042	32.3272	6.66407	37.3936	36.9258
40.9364	32.3619	6.68404	37.407	36.9862
40.9683	32.3964	6.70381	37.4201	37.046
41	32.4306	6.72338	37.4329	37.1052
41.0314	32.4646	6.74276	37.4455	37.1637
41.0625	32.4984	6.76194	37.4578	37.2216
41.0933	32.5319	6.78094	37.4699	37.2788
41.1239	32.5652	6.79975	37.4817	37.3355
41.1542	32.5983	6.81838	37.4933	37.3915
41.1842	32.6311	6.83682	37.5047	37.4469
41.214	32.6636	6.85508	37.5159	37.5017
41.2436	32.696	6.87316	37.5268	37.5559
41.2728	32.7281	6.89107	37.5375	37.6095
41.3019	32.76	6.90879	37.548	37.6625
41.3306	32.7917	6.92635	37.5583	37.7149
41.3591	32.8231	6.94373	37.5683	37.7667
41.3874	32.8543	6.96094	37.5782	37.818
41.4154	32.8853	6.97799	37.5878	37.8687
41.4432	32.9161	6.99487	37.5972	37.9188
41.4708	32.9467	7.01158	37.6065	37.9683
41.4981	32.977	7.02813	37.6155	38.0173
41.5252	33.0071	7.04453	37.6243	38.0658
41.552	33.0371	7.06076	37.633	38.1137
41.5786	33.0668	7.07683	37.6414	38.161
41.605	33.0963	7.09275	37.6497	38.2079
41.6311	33.1255	7.10852	37.6577	38.2541
41.657	33.1546	7.12413	37.6656	38.2999
41.6827	33.1835	7.1396	37.6733	38.3452
41.7082	33.2122	7.15491	37.6808	38.3899
41.7334	33.2406	7.17008	37.6882	38.4341
41.7585	33.2689	7.1851	37.6954	38.4778
41.7833	33.2969	7.19998	37.7024	38.521
41.8079	33.3248	7.21471	37.7092	38.5637
41.8323	33.3525	7.22931	37.7159	38.606
41.8564	33.3799	7.24377	37.7224	38.6477
41.8804	33.4072	7.25809	37.7287	38.689
41.9041	33.4343	7.27227	37.7349	38.7297
41.9277	33.4612	7.28632	37.7409	38.7701
41.951	33.4879	7.30023	37.7467	38.8099
41.9742	33.5144	7.31402	37.7524	38.8493
41.9971	33.5407	7.32767	37.758	38.8882
42.0198	33.5668	7.3412	37.7634	38.9267
42.0424	33.5928	7.35459	37.7686	38.9647
42.0647	33.6185	7.36787	37.7737	39.0023
42.0869	33.6441	7.38102	37.7787	39.0395
42.1088	33.6695	7.39404	37.7835	39.0762
42.1306	33.6947	7.40694	37.7882	39.1125
42.1522	33.7197	7.41973	37.7927	39.1483
42.1736	33.7446	7.43239	37.7971	39.1838
42.1948	33.7693	7.44494	37.8014	39.2188
42.2158	33.7938	7.45737	37.8055	39.2535
42.2366	33.8181	7.46969	37.8095	39.2877
42.2573	33.8423	7.48189	37.8133	39.3215
42.2778	33.8663	7.49398	37.8171	39.3549
42.298	33.8901	7.50596	37.8207	39.388
42.3182	33.9137	7.51783	37.8241	39.4206
42.3381	33.9372	7.52959	37.8275	39.4529
42.3579	33.9605	7.54124	37.8307	39.4848
42.3775	33.9836	7.55278	37.8338	39.5163
42.3969	34.0066	7.56423	37.8368	39.5475
42.4162	34.0294	7.57556	37.8397	39.5782
42.4353	34.0521	7.5868	37.8424	39.6087
42.4542	34.0746	7.59793	37.845	39.6387
42.4729	34.0969	7.60896	37.8475	39.6685
42.4915	34.1191	7.6199	37.8499	39.6978
42.51	34.1411	7.63073	37.8522	39.7269
42.5282	34.1629	7.64147	37.8544	39.7555
42.5463	34.1846	7.65211	37.8565	39.7839
42.5643	34.2062	7.66265	37.8585	39.8119
42.5821	34.2276	7.67311	37.8603	39.8396
42.5997	34.2488	7.68346	37.8621	39.867
42.6172	34.2699	7.69373	37.8637	39.894
42.6346	34.2908	7.70391	37.8653	39.9208
42.6518	34.3116	7.71399	37.8667	39.9472
42.6688	34.3322	7.72399	37.868	39.9733
42.6857	34.3527	7.7339	37.8693	39.9991
42.7024	34.3731	7.74372	37.8704	40.0247
42.719	34.3933	7.75346	37.8715	40.0499
42.7355	34.4133	7.76311	37.8724	40.0748
42.7518	34.4332	7.77268	37.8733	40.0994
42.7679	34.453	7.78216	37.874	40.1238
42.7839	34.4726	7.79156	37.8747	40.1479
42.7998	34.4921	7.80088	37.8753	40.1717
42.8156	34.5114	7.81012	37.8758	40.1952
42.8312	34.5307	7.81928	37.8762	40.2184
42.8466	34.5497	7.82836	37.8765	40.2414
42.862	34.5686	7.83736	37.8767	40.2641
42.8772	34.5874	7.84629	37.8768	40.2866
42.8923	34.6061	7.85514	37.8769	40.3088
42.9072	34.6246	7.86391	37.8768	40.3307
42.922	34.643	7.87261	37.8767	40.3524
42.9367	34.6613	7.88124	37.8765	40.3738
42.9512	34.6794	7.88979	37.8762	40.395
42.9656	34.6974	7.89827	37.8758	40.416
42.9799	34.7153	7.90668	37.8753	40.4367
42.9941	34.733	7.91502	37.8748	40.4571
43.0082	34.7506	7.92329	37.8742	40.4774
43.0221	34.7681	7.93148	37.8735	40.4974
43.0359	34.7855	7.93962	37.8727	40.5172
43.0496	34.8027	7.94768	37.8718	40.5367
43.0631	34.8198	7.95567	37.8708	40.5561
43.0766	34.8368	7.9636	37.8698	40.5752
43.0899	34.8537	7.97147	37.8687	40.5941
43.1031	34.8704	7.97927	37.8675	40.6128
