NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
1.45352,1.65645,3.60701,2.6623
1.45262,1.65719,3.64115,2.65834
1.45171,1.6579,3.67262,2.65077
1.4508,1.65858,3.70199,2.64102
1.44987,1.65924,3.72926,2.63092
1.44892,1.65986,3.7543,2.60298
1.44795,1.66046,3.7771,2.58489
1.44696,1.66102,3.79324,2.57011
1.44593,1.66155,3.81509,2.55814
1.44487,1.66206,3.84243,2.55037
1.44377,1.66253,3.86955,2.54587
1.44263,1.66297,3.89491,2.54318
1.44146,1.66338,3.91308,2.54128
1.44024,1.66376,3.92573,2.53945
1.439,1.66411,3.93188,2.53721
1.43772,1.66442,3.93342,2.53428
1.43642,1.6647,3.93131,2.52909
1.43509,1.66495,3.92725,2.52296
1.43375,1.66517,3.92366,2.51122
1.43237,1.66535,3.91926,2.50429
1.431,1.66551,3.91458,2.49713
1.42963,1.66564,3.9094,2.48957
1.42826,1.66574,3.90352,2.48129
1.42687,1.66581,3.89713,2.47259
1.42548,1.66586,3.88975,2.46338
1.42414,1.66588,3.88145,2.45428
1.42286,1.66588,3.87247,2.44557
1.42165,1.66586,3.87115,2.43745
1.42049,1.66581,3.87174,2.43008
1.41937,1.66574,3.87063,2.42367
1.41827,1.66566,3.86858,2.41838
1.41717,1.66555,3.86475,2.41438
1.41603,1.66543,3.85967,2.41181
1.41486,1.66529,3.853,2.41081
1.41367,1.66513,3.84517,2.41144
1.41248,1.66495,3.83614,2.43223
1.41131,1.66477,3.82629,2.44553
1.41019,1.66456,3.82016,2.45745
1.40914,1.66435,3.80505,2.46723
1.4082,1.66413,3.7885,2.48607
1.40738,1.66389,3.7723,2.49832
1.40669,1.66365,3.75655,2.50766
1.40614,1.66339,3.74333,2.51523
1.40575,1.66313,3.72948,2.52243
1.40552,1.66287,3.71511,2.52981
1.40542,1.66259,3.69995,2.53795
1.40551,1.66231,3.68472,2.5481
1.40573,1.66203,3.67394,2.55931
1.40611,1.66174,3.665,2.57149
1.40665,1.66145,3.6563,2.5842
